"Items Report","","","",""
"Feb 1, 2025 12:00 AM - Feb 28, 2025 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Accessories","Cotton Bacon V2","$6.99","$6.99","1"
"Accessories","Efest Luc 2","$32.99","$32.99","1"
"Accessories","Hellvape Hellbeast 2 Glass","$3.99","$3.99","1"
"Accessories","Zeus Replacement Bubble Glass","$9.98","$9.98","2"
"Batteries","JESSPOW 18650 3300mAh","$155.87","$155.87","13"
"Box Mod","Geek Vape Aegis Solo 3 Mod (Built-In Battery), Black","$64.99","$64.99","1"
"Box Mod","Geekvape Aegis Legend 3 Mod, Black","$74.99","$74.99","1"
"Box Mod","Lost Vape Thelema 200w, Mystic Purple Clear","$29.99","$29.99","1"
"Box Mod","Voopoo Drag 5 Mod, Black","$69.99","$69.99","1"
"Cartisan","Cartisan Concentrate Chambers (2-Pack)","$14.99","$14.99","1"
"Cartisan","Cartisan Pro Pen Neo 400, Black","$9.99","$9.99","1"
"Cartisan","Cartisan Pro Pen Neo 650, Black","$23.98","$23.98","2"
"Cartisan","Cartisan Veil Bar Neo, Noir","$27.99","$27.99","1"
"Chargers","Cartisan USB-C Charging Cable","$2.49","$2.49","1"
"Coils","Aegis Boost Coil, B0.2","$17.45","$17.45","5"
"Coils","Aegis Boost Coil, B0.3","$17.45","$17.45","5"
"Coils","Aegis Boost Coil, B0.4","$111.68","$111.68","32"
"Coils","Aegis Boost Pro Coils P0.15 Mesh","$19.95","$19.95","5"
"Coils","Aegis Boost Pro Coils, P0.2 Mesh","$60.00","$60.00","15"
"Coils","Aegis Boost Pro Coils, P0.4 Mesh","$291.85","$291.85","65"
"Coils","Falcon 2 Coils, Sector Mesh .14","$42.75","$42.75","9"
"Coils","Falcon M1 Coil","$44.91","$44.91","9"
"Coils","Fireluke Double Mesh Coil, .2","$69.80","$69.80","20"
"Coils","Fireluke Mesh Coils X2, .2 Ohms","$15.00","$15.00","5"
"Coils","Fireluke Quad Mesh Coil, .15","$14.97","$14.97","3"
"Coils","Fireluke Single Mesh Coil, .15","$27.92","$27.92","8"
"Coils","Fireluke Triple Mesh Coil, .15","$31.41","$31.41","9"
"Coils","Freemax Mesh Coil, 904L X2 .2","$44.90","$44.90","10"
"Coils","Geekvape J Coil .4","$97.50","$16.25","30"
"Coils","Geekvape Super Mesh x1 Coils, .2 ohms","$38.39","$38.39","11"
"Coils","Geekvape Zeus Coil, Z0.15","$47.88","$47.88","12"
"Coils","Geekvape Zeus Coil, Z0.2","$143.64","$143.64","36"
"Coils","Geekvape Zeus Coil, Z0.25","$3.99","$3.99","1"
"Coils","Geekvape Zeus Coil, Z0.4","$115.71","$115.71","29"
"Coils","Geekvape Zeus Coil, Z0.4 XM","$19.95","$19.95","5"
"Coils","Hellvape Hellbeast 2, KA1 .15 Meshed Coil","$45.50","$45.50","14"
"Coils","Horizon Sakerz Coil, .17 2in1 Mesh","$102.00","$102.00","24"
"Coils","Medusa Pre-Built Framed Staple Coil, .3","$8.97","$8.97","3"
"Coils","Medusa Pre-Built Parallel Fused Clapton, .2","$2.99","$2.99","1"
"Coils","Smok Nord Coil, Mesh .6","$19.95","$19.95","5"
"Coils","Smok RPM 3 Coil, .23 Mesh","$77.30","$77.30","20"
"Coils","Smok RPM Coil, Mesh .4","$131.67","$131.67","33"
"Coils","Smok RPM2 Coil, .16","$39.90","$39.90","10"
"Coils","Uwell Crown 5 Coil, .3 UN2-2 Meshed-H","$39.92","$39.92","8"
"Coils","Uwell Crown X, .6 Coil","$29.90","$29.90","10"
"Coils","Vaporesso GT Mesh Coil .18","$23.94","$23.94","6"
"Coils","Vaporesso GTI Coil, .15 Mesh","$63.84","$63.84","16"
"Coils","Vaporesso GTI Coil, .2 Mesh Coil","$83.79","$83.79","21"
"Coils","Vaporesso GTI Coil, .4 Mesh","$75.81","$75.81","19"
"Coils","Vaporesso GTX .15 Coil","$14.95","$14.95","5"
"Coils","Vaporesso GTX .2 Coil","$14.95","$14.95","5"
"Coils","Vaporesso GTX .3 Coil","$23.92","$23.92","8"
"Coils","Voopoo Pnp-VM5, .2","$79.80","$79.80","20"
"Coils","Voopoo Pnp-VM6 .15","$39.90","$39.90","10"
"Coils","Voopoo Pnp-X, .15 Coil","$59.85","$59.85","15"
"Coils","Voopoo Pnp-X, .3 Coil","$15.96","$15.96","4"
"Coils","Voopoo Pnp-X, .45 Coil","$3.99","$3.99","1"
"Coils","Zeus Z Max Coil, M0.15 Quadra Coil","$17.25","$17.25","3"
"Disposables","Adjust myflavor 30K, Watermelon Mango Peach","$47.98","$47.98","2"
"Disposables","BC5000, Cherry Dragonfruit","$30.00","$30.00","3"
"Disposables","BC5000, Miami Mint","$32.00","$32.00","2"
"Disposables","BC5000, Snoow Ice","$10.00","$10.00","1"
"Disposables","BC5000, Strawberry Ice","$11.00","$11.00","1"
"Disposables","BC5000, Watermelon Ice","$16.00","$16.00","1"
"Disposables","Digiflavor BRK Pod, Cherry Strazz","$15.99","$15.99","1"
"Disposables","Digiflavor BRK Pod, Strawberry B-Pop","$15.99","$15.99","1"
"Disposables","Digiflavor Sky 25K, Blackberry Fcuking Fab","$181.93","$181.93","7"
"Disposables","Digiflavor Sky 25K, Miami Mint","$298.87","$298.87","13"
"Disposables","Digiflavor Sky 25K, Peach Blue Slushy","$229.90","$229.90","10"
"Disposables","Digiflavor Sky 25K, Sour Apple Ice","$22.99","$22.99","1"
"Disposables","Digiflavor Sky 25K, Sour Watermelon Blue Razz","$114.95","$114.95","5"
"Disposables","Digiflavor Sky 25K, Strawberry Ice","$68.97","$68.97","3"
"Disposables","Fasta Burrst 35K Fizz, Meta Moon Soda","$23.99","$23.99","1"
"Disposables","Fifty Bar 20K, Yeti Mint","$45.98","$45.98","2"
"Disposables","Fifty Bar V2 20K, Cinnamon Funnel Cake","$68.97","$68.97","3"
"Disposables","Fifty Bar V2 20K, Gold Tobacco","$275.88","$275.88","12"
"Disposables","Fifty Bar V2 20K, Green Apple Blast","$175.92","$175.92","8"
"Disposables","Fifty Bar V2 20K, Kiberry Chew","$22.99","$22.99","1"
"Disposables","Fifty Bar V2 20K, Milky Loops","$22.99","$22.99","1"
"Disposables","Fifty Bar V2 20K, Mint","$439.80","$439.80","20"
"Disposables","Fifty Bar V2 20K, OMG! Smoothie","$137.94","$137.94","6"
"Disposables","Fifty Bar V2 20K, Rainbow Road","$45.98","$45.98","2"
"Disposables","Fifty Bar V2 20K, Raspberry Jam","$68.97","$68.97","3"
"Disposables","Fifty Bar V2 20K, Strawberry Cereal Donut Milk","$206.91","$206.91","9"
"Disposables","Fifty Bar V2 20K, Vanilla Custard","$114.95","$114.95","5"
"Disposables","Flonq Max Pro 2% Blueberry Lemonade","$39.98","$39.98","2"
"Disposables","Flonq Max Pro 2% Strawberry Watermelon","$59.97","$59.97","3"
"Disposables","Funky Lands Ti7000, Blossom Mint","$12.00","$12.00","1"
"Disposables","Funky Lands Ti7000, Pineapple Coconut Ice","$12.00","$12.00","1"
"Disposables","Geek Bar Meloso 30K, Blueberry Raspberry","$77.97","$77.97","3"
"Disposables","Geek Bar Meloso 30K, Green Apple Blueberry","$25.99","$25.99","1"
"Disposables","Geek Bar Meloso 30K, Magic Mint","$74.97","$74.97","3"
"Disposables","Geek Bar Meloso 30K, Mexico Mango","$155.94","$155.94","6"
"Disposables","Geek Bar Meloso 30K, Peachy Strawmelon","$25.99","$25.99","1"
"Disposables","Geek Bar Meloso 30K, Stone Freeze","$181.93","$181.93","7"
"Disposables","Geek Bar Meloso 30K, Strawnana Ice","$25.99","$25.99","1"
"Disposables","Geek Bar Meloso 30K, Super Fcukin Fab","$80.97","$80.97","3"
"Disposables","Geek Bar Meloso 30K, Watermelon Ice","$25.99","$25.99","1"
"Disposables","Geek Bar Pulse X 25K, ATL Mint","$174.93","$174.93","7"
"Disposables","Geek Bar Pulse X 25K, Banana Taffy Freeze","$77.97","$77.97","3"
"Disposables","Geek Bar Pulse X 25K, Blue Rancher","$155.94","$155.94","6"
"Disposables","Geek Bar Pulse X 25K, Blue Razz Ice","$22.99","$22.99","1"
